"REF_DATE","GEO","DGUID","Toronto Stock Exchange Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2936.88","","","","2"
"1986-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3034.44","","","","2"
"1986-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3118.04","","","","2"
"1986-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3041.25","","","","2"
"1986-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3088.74","","","","2"
"1986-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3076.42","","","","2"
"1987-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3348.85","","","","2"
"1987-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3579.86","","","","2"
"1987-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3847.72","","","","2"
"1987-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3897.10","","","","2"
"1987-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3844.05","","","","2"
"1987-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3740.19","","","","2"
"1987-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4038.84","","","","2"
"1987-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4118.94","","","","2"
"1987-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4019.04","","","","2"
"1987-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3919.72","","","","2"
"1987-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3110.83","","","","2"
"1987-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3211.76","","","","2"
"1988-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3270.72","","","","2"
"1988-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3204.83","","","","2"
"1988-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3370.19","","","","2"
"1988-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3405.07","","","","2"
"1988-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3353.47","","","","2"
"1988-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3450.33","","","","2"
"1988-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3478.94","","","","2"
"1988-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3382.50","","","","2"
"1988-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3307.51","","","","2"
"1988-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3430.15","","","","2"
"1988-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3396.60","","","","2"
"1988-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3389.99","","","","2"
"1989-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3635.82","","","","2"
"1989-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3704.06","","","","2"
"1989-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3652.84","","","","2"
"1989-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3627.85","","","","2"
"1989-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3708.41","","","","2"
"1989-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3807.46","","","","2"
"1989-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3979.31","","","","2"
"1989-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4030.92","","","","2"
"1989-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4015.97","","","","2"
"1989-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4042.28","","","","2"
"1989-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","3970.04","","","","2"
"1989-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","4009.08","","","","2"
