Category,OECD
2019-05-01 0:00,100.8905
2019-06-01 0:00,100.7944
2019-07-01 0:00,100.6655
2019-08-01 0:00,100.5151
2019-09-01 0:00,100.4945
2019-10-01 0:00,100.5669
2019-11-01 0:00,100.7072
2019-12-01 0:00,100.8085
2020-01-01 0:00,100.7368
2020-02-01 0:00,100.2475
2020-03-01 0:00,99.20002
2020-04-01 0:00,98.08272
2020-05-01 0:00,97.7346
2020-06-01 0:00,97.93919
2020-07-01 0:00,98.21606
2020-08-01 0:00,98.47051
2020-09-01 0:00,98.68694
2020-10-01 0:00,98.7682
2020-11-01 0:00,98.77956
2020-12-01 0:00,98.89305
2021-01-01 0:00,99.03268
2021-02-01 0:00,99.30976
2021-03-01 0:00,99.72045
2021-04-01 0:00,100.0472
2021-05-01 0:00,100.2936
2021-06-01 0:00,100.4461
2021-07-01 0:00,100.3459
2021-08-01 0:00,100.1066
2021-09-01 0:00,99.94366
2021-10-01 0:00,99.76162
2021-11-01 0:00,99.53439
2021-12-01 0:00,99.29358
2022-01-01 0:00,98.9581
2022-02-01 0:00,98.49379
2022-03-01 0:00,97.95032
2022-04-01 0:00,97.55595
2022-05-01 0:00,97.18167
2022-06-01 0:00,96.80901
2022-07-01 0:00,96.60945
2022-08-01 0:00,96.6187
2022-09-01 0:00,96.64194
2022-10-01 0:00,96.741
2022-11-01 0:00,96.92239
2022-12-01 0:00,97.1957
2023-01-01 0:00,97.50239
2023-02-01 0:00,97.74906
2023-03-01 0:00,97.91438
2023-04-01 0:00,98.12037
2023-05-01 0:00,98.30653
2023-06-01 0:00,98.48672
2023-07-01 0:00,98.57254
2023-08-01 0:00,98.47602
2023-09-01 0:00,98.31648
2023-10-01 0:00,98.21379
2023-11-01 0:00,98.32161
2023-12-01 0:00,98.64767
2024-01-01 0:00,98.99354
2024-02-01 0:00,99.18041
2024-03-01 0:00,99.23685
2024-04-01 0:00,99.15881
2024-05-01 0:00,99.01476
2024-06-01 0:00,98.93215
2024-07-01 0:00,98.90831
2024-08-01 0:00,98.93671
2024-09-01 0:00,98.98847
