No.,REF_DATE,GEO,DGUID,Assets and liabilities,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
162,1959-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12195,,,t,0
163,1959-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12262,,,t,0
164,1959-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12291,,,t,0
165,1959-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12106,,,t,0
166,1959-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12017,,,t,0
167,1959-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12092,,,t,0
168,1959-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12059,,,t,0
169,1960-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12105,,,t,0
170,1960-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12016,,,t,0
171,1960-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,11987,,,t,0
172,1960-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12076,,,t,0
173,1960-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12137,,,t,0
174,1960-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12217,,,t,0
175,1960-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12230,,,t,0
176,1960-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12152,,,t,0
177,1960-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12233,,,t,0
178,1960-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12552,,,t,0
179,1960-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12678,,,t,0
180,1960-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12780,,,t,0
181,1961-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12728,,,t,0
182,1961-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12735,,,t,0
183,1961-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12807,,,t,0
184,1961-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12792,,,t,0
185,1961-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12813,,,t,0
186,1961-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12911,,,t,0
187,1961-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13033,,,t,0
188,1961-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13324,,,t,0
189,1961-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13356,,,t,0
190,1961-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13403,,,t,0
191,1961-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13621,,,t,0
192,1961-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13947,,,t,0
193,1962-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13955,,,t,0
194,1962-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13901,,,t,0
195,1962-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14035,,,t,0
196,1962-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14175,,,t,0
197,1962-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14421,,,t,0
198,1962-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14436,,,t,0
199,1962-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14270,,,t,0
200,1962-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13928,,,t,0
201,1962-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13829,,,t,0
202,1962-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,13981,,,t,0
203,1962-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14153,,,t,0
204,1962-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14303,,,t,0
205,1963-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14298,,,t,0
206,1963-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14379,,,t,0
207,1963-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14406,,,t,0
208,1963-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14411,,,t,0
209,1963-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14557,,,t,0
210,1963-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14844,,,t,0
211,1963-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14941,,,t,0
212,1963-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14891,,,t,0
213,1963-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,14908,,,t,0
214,1963-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15226,,,t,0
215,1963-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15441,,,t,0
216,1963-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15648,,,t,0
217,1964-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15673,,,t,0
218,1964-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15576,,,t,0
219,1964-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15628,,,t,0
220,1964-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15730,,,t,0
221,1964-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,15830,,,t,0
222,1964-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16010,,,t,0
223,1964-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16154,,,t,0
224,1964-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16144,,,t,0
225,1964-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16053,,,t,0
226,1964-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16059,,,t,0
227,1964-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16306,,,t,0
228,1964-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16473,,,t,0
229,1965-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,16665,,,t,0
